player_id,install_date,platform,country,channel,player_class,ab_group,d1_retained,d7_retained,d30_retained,total_revenue,is_payer,level_reached
p_000000,2024-01-10,Android,JP,paid_social,Mage,variant_a,0,0,0,0.0,0,20
p_000001,2024-03-01,Android,FR,organic,Paladin,variant_a,1,0,0,0.0,0,8
p_000002,2024-01-27,iOS,US,google_uac,Hunter,control,1,0,0,0.0,0,40
p_000003,2024-01-19,Android,US,paid_social,Paladin,control,0,0,0,0.0,0,10
p_000004,2024-01-04,iOS,US,organic,Paladin,control,0,0,0,0.0,0,28
p_000005,2024-01-04,Android,US,influencer,Mage,variant_a,0,0,0,0.0,0,18
p_000006,2024-01-02,iOS,CA,paid_social,Paladin,variant_a,0,0,0,0.0,0,2
p_000007,2024-02-10,Android,GB,influencer,Paladin,control,0,0,0,0.0,0,25
p_000008,2024-01-19,iOS,KR,influencer,Mage,control,1,0,0,0.0,0,16
p_000009,2024-01-25,iOS,JP,crosspromo,Hunter,control,0,0,0,0.0,0,16
p_000010,2024-01-01,Android,CA,organic,Paladin,control,0,0,0,0.0,0,24
p_000011,2024-03-11,iOS,KR,influencer,Hunter,variant_a,0,0,0,0.0,0,23
p_000012,2024-02-05,Android,DE,influencer,Mage,control,0,0,0,0.0,0,11
p_000013,2024-01-05,Android,FR,google_uac,Mage,control,0,0,0,0.0,0,21
p_000014,2024-01-05,iOS,US,influencer,Hunter,variant_a,0,0,0,0.0,0,16
p_000015,2024-01-05,Android,CA,paid_social,Mage,variant_a,1,0,0,0.0,0,27
p_000016,2024-01-08,iOS,DE,influencer,Warrior,variant_a,0,0,0,0.0,0,16
p_000017,2024-01-15,Android,BR,organic,Hunter,variant_a,1,0,0,0.0,0,17
p_000018,2024-01-12,Android,FR,organic,Paladin,control,0,0,0,0.0,0,11
p_000019,2024-01-07,iOS,GB,crosspromo,Paladin,variant_a,1,0,0,0.0,0,7
p_000020,2024-01-19,iOS,CA,crosspromo,Warrior,variant_a,0,0,0,0.0,0,27
p_000021,2024-01-04,Android,US,organic,Mage,control,1,0,0,0.0,0,18
p_000022,2024-01-07,Android,JP,organic,Rogue,variant_a,1,0,0,0.0,0,16
p_000023,2024-01-10,Android,US,organic,Hunter,control,1,0,0,0.0,0,6
p_000024,2024-01-13,iOS,CN,influencer,Warrior,variant_a,0,0,0,0.0,0,18
p_000025,2024-01-31,Android,JP,crosspromo,Warrior,control,0,0,0,0.0,0,6
p_000026,2024-01-05,iOS,DE,crosspromo,Rogue,control,1,0,0,0.0,0,14
p_000027,2024-01-15,Android,JP,google_uac,Paladin,control,1,0,0,0.0,0,16
p_000028,2024-01-18,iOS,JP,influencer,Hunter,variant_a,1,0,0,0.0,0,21
p_000029,2024-01-01,iOS,US,crosspromo,Mage,variant_a,1,0,0,0.0,0,10
p_000030,2024-01-19,Android,DE,organic,Paladin,variant_a,0,0,0,0.0,0,11
p_000031,2024-01-04,iOS,US,influencer,Warrior,control,1,0,0,0.0,0,15
p_000032,2024-01-02,Android,JP,organic,Rogue,control,1,0,0,0.0,0,13
p_000033,2024-02-29,Android,KR,paid_social,Mage,variant_a,0,0,0,0.0,0,26
p_000034,2024-03-08,Android,CN,organic,Mage,variant_a,1,1,0,0.0,0,34
p_000035,2024-02-03,iOS,KR,google_uac,Warrior,variant_a,0,0,0,0.0,0,29
p_000036,2024-01-08,iOS,GB,organic,Hunter,control,0,0,0,0.0,0,25
p_000037,2024-01-03,Android,US,paid_social,Mage,variant_a,0,0,0,0.0,0,22
p_000038,2024-01-24,iOS,CA,paid_social,Warrior,variant_a,0,0,0,0.0,0,13
p_000039,2024-01-12,iOS,CN,organic,Rogue,control,0,0,0,0.0,0,37
p_000040,2024-01-03,Android,CN,organic,Rogue,variant_a,1,0,0,0.0,0,15
p_000041,2024-01-14,Android,DE,google_uac,Warrior,control,0,0,0,0.0,0,6
p_000042,2024-01-01,iOS,KR,influencer,Rogue,variant_a,1,0,0,0.0,0,29
p_000043,2024-02-18,Android,US,paid_social,Paladin,variant_a,0,0,0,0.0,0,24
p_000044,2024-01-06,Android,CN,influencer,Rogue,control,0,0,0,0.0,0,23
p_000045,2024-01-22,Android,CA,paid_social,Rogue,variant_a,0,0,0,0.0,0,19
p_000046,2024-01-08,iOS,FR,influencer,Rogue,control,0,0,0,0.0,0,13
p_000047,2024-01-15,iOS,DE,organic,Paladin,variant_a,1,0,0,0.0,0,9
p_000048,2024-01-16,Android,KR,organic,Rogue,control,0,0,0,0.0,0,21
p_000049,2024-01-05,Android,BR,organic,Hunter,control,1,0,0,0.0,0,7
p_000050,2024-03-10,iOS,JP,paid_social,Mage,variant_a,1,1,0,0.0,0,14
p_000051,2024-01-30,Android,US,organic,Mage,control,0,0,0,0.0,0,13
p_000052,2024-02-26,iOS,DE,paid_social,Mage,variant_a,0,0,0,0.0,0,26
p_000053,2024-02-15,Android,CA,crosspromo,Mage,variant_a,1,0,0,0.0,0,21
p_000054,2024-01-19,Android,JP,google_uac,Mage,control,0,0,0,0.0,0,18
p_000055,2024-02-20,Android,US,google_uac,Warrior,control,0,0,0,0.0,0,12
p_000056,2024-01-02,Android,BR,google_uac,Hunter,variant_a,0,0,0,0.0,0,22
p_000057,2024-01-05,iOS,US,organic,Rogue,variant_a,0,0,0,0.0,0,17
p_000058,2024-01-01,iOS,JP,google_uac,Rogue,control,0,0,0,0.0,0,40
p_000059,2024-01-08,iOS,GB,organic,Paladin,control,0,0,0,0.0,0,32
p_000060,2024-01-10,iOS,DE,crosspromo,Hunter,variant_a,0,0,0,0.0,0,23
p_000061,2024-01-07,iOS,US,paid_social,Warrior,variant_a,0,0,0,0.0,0,15
p_000062,2024-02-05,Android,BR,organic,Rogue,control,0,0,0,0.0,0,14
p_000063,2024-01-09,iOS,GB,crosspromo,Rogue,variant_a,0,0,0,0.0,0,7
p_000064,2024-01-07,Android,FR,crosspromo,Warrior,control,0,0,0,0.0,0,27
p_000065,2024-01-16,iOS,US,crosspromo,Hunter,variant_a,1,1,0,0.0,0,6
p_000066,2024-01-04,Android,CN,google_uac,Warrior,variant_a,0,0,0,0.0,0,29
p_000067,2024-02-02,Android,FR,google_uac,Warrior,control,0,0,0,0.0,0,29
p_000068,2024-01-02,iOS,BR,paid_social,Paladin,control,0,0,0,0.0,0,32
p_000069,2024-03-27,Android,GB,paid_social,Mage,variant_a,0,0,0,0.0,0,11
p_000070,2024-01-30,Android,RU,influencer,Warrior,variant_a,1,1,0,0.0,0,9
p_000071,2024-01-05,iOS,CN,google_uac,Mage,variant_a,0,0,0,0.0,0,30
p_000072,2024-01-01,Android,US,influencer,Mage,control,1,0,0,0.0,0,25
p_000073,2024-02-03,iOS,CN,influencer,Mage,variant_a,0,0,0,0.0,0,10
p_000074,2024-01-25,iOS,CN,influencer,Warrior,variant_a,1,0,0,0.0,0,29
p_000075,2024-01-27,Android,CA,organic,Mage,variant_a,0,0,0,0.0,0,3
p_000076,2024-01-30,iOS,BR,influencer,Mage,variant_a,1,0,0,0.0,0,3
p_000077,2024-01-02,iOS,DE,influencer,Hunter,variant_a,1,0,0,0.0,0,11
p_000078,2024-01-09,Android,JP,paid_social,Warrior,variant_a,1,0,0,0.0,0,14
p_000079,2024-01-03,Android,US,influencer,Warrior,variant_a,1,0,0,0.0,0,25
p_000080,2024-02-09,Android,KR,paid_social,Rogue,variant_a,1,0,0,0.0,0,6
p_000081,2024-01-20,Android,GB,google_uac,Warrior,control,0,0,0,0.0,0,38
p_000082,2024-01-09,Android,KR,influencer,Warrior,control,1,0,0,0.0,0,16
p_000083,2024-01-02,iOS,JP,google_uac,Rogue,control,1,0,0,0.0,0,23
p_000084,2024-01-08,Android,BR,paid_social,Paladin,control,0,0,0,0.0,0,10
p_000085,2024-01-08,iOS,KR,organic,Rogue,control,0,0,0,0.0,0,8
p_000086,2024-01-27,Android,US,paid_social,Mage,control,0,0,0,0.0,0,13
p_000087,2024-01-21,Android,BR,organic,Paladin,variant_a,1,0,0,0.0,0,15
p_000088,2024-02-13,Android,JP,paid_social,Hunter,variant_a,1,0,0,0.0,0,16
p_000089,2024-01-13,Android,JP,organic,Paladin,control,0,0,0,0.0,0,23
p_000090,2024-01-03,Android,RU,paid_social,Mage,control,0,0,0,0.0,0,15
p_000091,2024-01-25,Android,KR,influencer,Hunter,variant_a,1,0,0,0.0,0,18
p_000092,2024-01-29,Android,CA,influencer,Paladin,variant_a,1,0,0,0.0,0,9
p_000093,2024-01-17,Android,DE,paid_social,Mage,control,0,0,0,0.0,0,20
p_000094,2024-01-30,iOS,JP,paid_social,Mage,control,1,0,0,0.0,0,29
p_000095,2024-01-14,Android,BR,influencer,Warrior,control,0,0,0,0.0,0,7
